@RELATION emotion

@ATTRIBUTE Dimension_0 CONTINUOUS
@ATTRIBUTE Dimension_1 CONTINUOUS
@ATTRIBUTE Dimension_2 CONTINUOUS
@ATTRIBUTE Dimension_3 CONTINUOUS
@ATTRIBUTE Dimension_4 CONTINUOUS
@ATTRIBUTE Dimension_5 CONTINUOUS
@ATTRIBUTE Dimension_6 CONTINUOUS
@ATTRIBUTE Dimension_7 CONTINUOUS
@ATTRIBUTE Dimension_8 CONTINUOUS
@ATTRIBUTE Dimension_9 CONTINUOUS
@ATTRIBUTE Dimension_10 CONTINUOUS
@ATTRIBUTE Dimension_11 CONTINUOUS
@ATTRIBUTE Dimension_12 CONTINUOUS
@ATTRIBUTE Dimension_13 CONTINUOUS
@ATTRIBUTE Dimension_14 CONTINUOUS
@ATTRIBUTE Dimension_15 CONTINUOUS
@ATTRIBUTE Dimension_16 CONTINUOUS
@ATTRIBUTE Dimension_17 CONTINUOUS
@ATTRIBUTE Dimension_18 CONTINUOUS
@ATTRIBUTE Dimension_19 CONTINUOUS
@ATTRIBUTE Emotion {happy, sad, angry, surprised, scared, disgusted, neutral}

@DATA
0.0101945610342, -0.0474173733733, 0.0776237563271, -0.152668086503, 0.0605661089509, -0.130545194966, -0.00876954344261, -0.0405523346791, -0.0346527929312, -0.0427631093306, 0.0605846828319, 0.134640368198, -0.00895815726491, -0.0275389203031, 0.0491056928391, 0.0204224393817, -0.0460126609521, 0.0201932480569, -0.137170889742, 0.109575592919, happy
-0.0698501399276, 0.136612101727, -0.0745964832885, -0.0217557817012, 0.139921220444, -0.0341353854656, -0.0340797414368, 0.0241620809494, 0.0297606836468, 0.013821083001, 0.037604305296, 0.0568514377249, 0.0798162293071, -0.126928439017, -0.0256631910715, -0.108956525116, 0.0185653911202, 0.0584609927775, -0.0741300136631, 0.00304594518703, neutral
0.0825326806961, 0.037272377102, 0.0283521479473, 0.0198148005903, 0.00443945325459, 0.038348530179, -0.0454884204405, -0.0397792659773, -0.032506936934, 0.0892105047012, 0.149813128429, -0.0242178279257, 0.107214373244, 0.0443456512215, -0.0583942478014, 0.0465439429319, -0.0235306552248, 0.0123789205154, 0.0365240100545, -0.00884199109473, scared
-0.0625937495725, -0.0234237576037, -0.024721882098, -0.0640295482321, -0.11261840829, 0.0349576937274, 0.0180682633584, 0.113801769612, 0.0320726008001, 0.118771105628, -0.0921252407786, 0.00496143815269, 0.0870317126651, 0.0841686675231, 1.00438187272e-05, 0.0372035099838, 0.032877243972, 0.159517685951, -0.0647780308529, -0.0355018467113, happy
-0.041812251066, -0.0225927877312, 0.13594661892, -0.0575665198339, 0.0784868105361, -0.0387264012935, 0.077188954539, 0.140988741574, -0.0830194123718, 0.077664220546, 0.0213080106261, -0.0746451119442, -0.0967099225765, 0.0107940943843, 0.162696173809, -0.000971428579865, -0.0188314824739, 0.0107263856265, 0.05768517624, 0.0338096619176, happy
-0.0243290092175, -0.0185290862184, -0.0488721979073, -0.0419681620638, -0.112110176003, 0.0235314317297, -0.00575642679449, 0.0695535076235, 0.00944816940999, -0.0278505430161, 0.00823146346836, 0.0824860557415, 0.000280770819468, 0.0319297072653, 0.0433779511071, 0.219817680186, 0.0769387532964, -0.0172633136356, -0.0562718298096, -0.117299201613, happy
0.100727697543, 0.0362236031617, -0.0146105567791, -0.00647604389837, 0.0253669483182, -0.0675634429397, -0.034352825934, 0.0424061122221, 0.0245724149467, 0.0695113380952, -0.117723247903, -0.0643527680634, -0.00472643927519, -0.0196635636313, -0.0953587387028, 0.0216719614214, -0.0080625791069, -0.041525123897, -0.0458648472766, 0.051102158778, neutral
-0.0511592735946, -0.00554464383707, 0.0864781363044, -0.0226505194475, 0.043753096189, 0.0669019497974, 0.0615657189551, 0.0196037210952, 0.0868712358315, 0.104748751427, 0.0146815173464, -0.0107205604816, 0.0454198815295, -0.0705419639335, -0.0155768053228, 0.0211516673282, 0.062601381275, -0.113193674781, -0.0297969164603, -0.0822192381237, neutral
0.0751683247744, 0.0258062243587, -0.0537618886645, -0.00349762236757, -0.0879523222235, 0.030302233439, 0.103561166421, -0.0261048431134, 0.0306530240212, 0.00479644711951, -0.0410431488148, 0.120593432585, 0.0919963114518, -0.070885313548, 0.0101525313455, 0.00848902717083, -0.0896462119176, -0.0502898598142, -0.0391147529055, -0.0909417022513, neutral
-0.0402084585641, -0.0484079837985, -0.112284061614, 0.0525284176297, 0.00879902185357, -0.111315844316, -0.0955597716216, -0.115568820003, -0.115000171123, 0.057215659142, -0.00422527943289, -0.0514010481253, 0.0312326790276, -0.0541638274227, 0.088204285966, -0.0233910969118, 0.00888508331362, -0.071741103914, 0.085112204277, -0.0854385190978, disgusted
