@RELATION emotion

@ATTRIBUTE Dimension_0 CONTINUOUS
@ATTRIBUTE Dimension_1 CONTINUOUS
@ATTRIBUTE Dimension_2 CONTINUOUS
@ATTRIBUTE Dimension_3 CONTINUOUS
@ATTRIBUTE Dimension_4 CONTINUOUS
@ATTRIBUTE Dimension_5 CONTINUOUS
@ATTRIBUTE Dimension_6 CONTINUOUS
@ATTRIBUTE Dimension_7 CONTINUOUS
@ATTRIBUTE Dimension_8 CONTINUOUS
@ATTRIBUTE Dimension_9 CONTINUOUS
@ATTRIBUTE Dimension_10 CONTINUOUS
@ATTRIBUTE Dimension_11 CONTINUOUS
@ATTRIBUTE Dimension_12 CONTINUOUS
@ATTRIBUTE Dimension_13 CONTINUOUS
@ATTRIBUTE Dimension_14 CONTINUOUS
@ATTRIBUTE Dimension_15 CONTINUOUS
@ATTRIBUTE Dimension_16 CONTINUOUS
@ATTRIBUTE Dimension_17 CONTINUOUS
@ATTRIBUTE Dimension_18 CONTINUOUS
@ATTRIBUTE Dimension_19 CONTINUOUS
@ATTRIBUTE Dimension_20 CONTINUOUS
@ATTRIBUTE Dimension_21 CONTINUOUS
@ATTRIBUTE Dimension_22 CONTINUOUS
@ATTRIBUTE Dimension_23 CONTINUOUS
@ATTRIBUTE Dimension_24 CONTINUOUS
@ATTRIBUTE Emotion {happy, sad, angry, surprised, scared, disgusted, neutral}

@DATA
0.0797419919056, 0.0521349764826, -0.0218413373874, 0.0419069647151, -0.0257248637606, 0.0190501420406, -0.0449526015403, 0.0185477137712, 0.0142596908082, -0.0490486897741, 0.0570763618737, 0.0130593415672, 0.0455260746261, -0.0525724031686, -0.078288253065, -0.107134552696, 0.0526294588103, -0.0142617788743, -0.0110153709261, 0.0165136398629, -0.161361080184, 0.0730961804095, -0.152111499872, 0.0568782294185, 0.142286762232, neutral
-0.149917407884, -0.0290678217926, 0.0380668044132, -0.062782018165, -0.066109981926, -0.0450724662329, -0.000549485667578, -0.0711907407954, 0.0170605251141, 0.133994388254, 0.0474775803992, 0.0281594993153, 0.0592749971816, -0.0597066323276, -0.0217387436177, -0.00201351581156, -0.0399133507205, -0.0971001034702, -0.18083895331, -0.0233070552829, -0.0180720037385, -0.0810150681035, -0.055924924294, -0.00202378707738, 0.0379673461717, neutral
0.0406584935662, -0.0221438666298, 0.0106467355717, 0.00332774846727, 0.0677505841247, -0.051724601124, -0.0921148716453, 0.0374685247681, 0.0933585605726, 0.0773713122201, -0.0760366835756, -0.0786781899234, -0.0166428470816, -0.117646697606, 0.0738251972789, 0.189970666653, -0.0274892625475, 0.048134214565, 0.127584335318, 0.00644911169513, -0.0553061969862, 0.0117847631585, -0.0628276536471, 0.046576339976, 0.203344205737, angry
0.0948738324417, -0.00680113254429, 0.00408547143747, 0.0773825352998, -0.00292024814087, 0.102662355042, 0.079239775488, 0.0545117010634, 0.0115494943935, -0.0128669281953, 0.0620142469176, 0.0356670646591, 0.00887459538621, -0.0517648572503, -0.196588843396, -0.052817927704, 0.0472290340392, -0.00360032040008, -0.106290220116, 0.121382628038, -0.0334903166025, -0.0204904352708, -0.0229879461789, -0.0290962148558, 0.0152224568239, neutral
-0.0573181398192, 0.0925117596437, 0.0460628383904, 0.0385090906686, 0.0519914085783, 0.0884125798661, 0.0824418120869, -0.0424553972608, -0.00875604566205, -0.0528354641534, -0.10314800544, -0.0148288394515, -0.0671872687691, 0.0444735505239, 0.0821294856019, 0.00779829174558, -0.0602100978332, 0.00524096844768, 0.0135298746448, -0.0575612180053, -0.105100945968, 0.0615456687482, -0.0315570016449, -0.0691588219015, -0.0412527642801, sad
0.0996838120404, 0.00177829397274, -0.055555089014, 0.115454139066, 0.0604413956452, -0.112013218215, 0.0422723856681, 0.0329490613079, 0.113787295265, 0.0706511143466, 0.0021298465826, -0.0238661436023, 0.000148785874007, 0.0837570826782, 0.0497992554671, 0.160813407887, -0.0242715465404, -0.125300585801, -0.107014299348, 0.100838898759, 0.0676866212952, 0.113201673159, -0.0261996073637, -0.0940443088203, -0.032187751682, sad
-0.136824925402, -0.17261090625, -0.118351772637, -0.0459618943879, 0.0676820996083, -0.0598390952673, -0.0395656581978, 0.0364001714304, -0.0309161505377, 0.0773375273814, 0.0920129759877, 0.11645071866, -0.0839821031325, 0.018157886855, 0.0815475972263, -0.0806273184253, 0.0415576453578, 0.0665169745196, -0.0817217105821, -0.023133993232, 0.0171731668223, -0.00890217310644, -0.0528213693424, 0.0834030370077, 0.0891590770086, angry
0.0985141510769, -0.0158340520004, 0.010118556538, 0.0665859011581, -0.0692366603619, -0.0173465195486, 0.0171040015293, 0.129710834153, 0.073463064656, -0.0660085705926, 0.0746602917706, -0.135417798858, -0.0533856018079, -0.0228480082293, 0.0764062929033, -0.0449880357156, -0.108458876674, -0.0792793000012, -0.0699636528068, 0.167164855402, -0.0404392216393, 0.110854976156, -0.0705104108155, -0.0803981048344, 0.113679668945, angry
-0.10201849795, 0.0114825825613, 0.058605403275, -0.0513554207821, 0.011253607334, 0.0696490895279, -0.0887518360934, -0.00342537680285, -0.0137699930671, -0.101144525518, 0.0396125482974, 0.0785614713145, -0.0337835130639, 0.0640620498804, 0.0365150623017, 0.0594813008454, 0.0550507829933, -0.0447034694818, 0.0423164490089, 0.119874696071, -0.0597841544758, 0.085594661643, 0.0571727851882, -0.156920132505, -0.0534515489106, angry
-0.0797528434986, 0.0282580784319, -0.136615470637, 0.0636054724327, 0.0299120637208, 0.0416547731778, -0.0824843139671, 0.0416898587467, -0.0371194320937, -0.0738980353705, -0.0384091647643, -0.0166119379104, 0.0294120845796, 0.0475616526628, 0.0116000039723, -0.139960401307, -0.0926286355985, 0.0924704863149, 0.0198494873567, 0.14318467568, 0.0123996177147, -0.0314545144148, -0.150308809123, 0.0566811815245, 0.0121668630031, neutral
